Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier1_within_host,peak_Ag,kappa17,\kappa_{17},-0.00045246282484919,1.49915729971166e-05,0,1.49915729971166e-05,0,0.000374866045392721,8.51131505823942e-06,2.46592726066502e-05,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,t17,t_{17},0.0215684641222887,0.0303671836967976,0.0215684641222887,0.0303671836967976,0,0.0405142753207769,0.018105217927021,0.0504300364988259,2341511.40970554,1024,0
Tier1_within_host,AUC_beta,beta,\beta,-1.83021131755584,0.362796495643349,0,0.362796495643349,0,0,0.334708844712696,0.39695322109734,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,k,k,0.0254481619696703,0.00943478700433435,0.0254481619696703,0.00943478700433435,0.000415117395576116,0.0439142456736694,0.0080706340178865,0.0117762828936753,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,p,p,0.212192376526241,0.202278045909156,0.212192376526241,0.202278045909156,0.104135029211251,0.320167112518947,0.17588738957367,0.224195728909037,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,q,q,0.253272086155657,0.257738629294816,0.253272086155657,0.257738629294816,0.125254638641023,0.375768278889569,0.227209619509727,0.295701876638378,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,c,c,0.154164342768683,0.155937902516677,0.154164342768683,0.155937902516677,0.0837540016863313,0.249774874099543,0.141063964195752,0.171469766004902,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,delta,\delta,0.10972148711779,0.209454034037344,0.10972148711779,0.209454034037344,0.00813296231487387,0.220605065071116,0.187596512901307,0.228841461771913,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,rho_R,\rho_R,0.00383841546187566,0.000503617807142647,0.00383841546187566,0.000503617807142647,0,0.0109473262257172,9.22558723071398e-05,0.00101589879998598,17.9258615860609,1024,0
Tier1_within_host,AUC_beta,mu_R,\mu_R,-5.29608110224498e-05,0.000226398674668843,0,0.000226398674668843,0,0.00317448837148826,5.94741925521139e-13,0.00058309634886837,17.9258615860609,1024,0
